year,corr_option_pnl_spot_return,corr_option_pnl_iv_change,corr_spot_return_iv_change,std_option_pnl,std_spot_return_pct,std_iv_change
2015,0.8565012323137958,-0.3794609361239663,-0.6682668385138086,0.4933388397610948,1.3096074711311756,0.009938079839655445
2016,0.8804065398688187,-0.37039870148929904,-0.5594830091873771,0.3779288137771904,0.9439777134596413,0.006708755923624868
2017,0.8887646837775075,-0.02182272375781653,-0.28292687236190744,0.23955981816029048,0.46366233939444323,0.005220146848823784
2018,0.8434233674669792,-0.29644628901104947,-0.5395025508426803,0.6508272663516425,1.2446390314412075,0.010903826410407866
2019,0.8368729980114358,-0.09273018905104924,-0.33677072290938737,0.455506551564591,0.9043161131681254,0.008866330971708544
2020,0.8114697495840364,-0.1882244113258958,-0.41984324529819306,0.9236391101227073,1.9407732947343321,0.018734755962949445
2021,0.8244570830453466,-0.3031079408334189,-0.5374396687045202,0.5170899163602053,0.9112817754254704,0.009760179545706385
2022,0.8130845667036343,-0.11390216895999107,-0.30835434719514626,0.8174072953436125,1.541192051815249,0.014010389604089919
2023,0.9262296618345934,0.04279793787654582,-0.061241471604749326,0.6040068209968931,0.8330036742534612,0.013563704176660845
