state3,steps,sum_pnl,mean_pnl,mean_option_pnl,mean_hedge_pnl,mean_agent_minus_bs,mean_delta_gap,year,portfolio,share_negative_steps,share_negative_loss
spot_down/option_down/iv_flat,12,-0.5776616745324394,-0.04813847287770329,-0.24969125533811165,0.20155278246040276,-0.007602162261390201,-0.019353617367984275,2015,bs,0.013001083423618635,0.008381710759157729
spot_down/option_down/iv_up,85,-2.0529435253122386,-0.024152276768379277,-0.2859014115182856,0.2617491347499037,-0.01161950789846519,-0.029614052735852766,2015,bs,0.09209100758396534,0.029787641439048752
spot_up/option_down/iv_down,107,-13.26410334816023,-0.12396358269308626,-0.050409584511671206,-0.07355399818142004,0.008525251987021401,-0.0250450627000458,2015,bs,0.11592632719393282,0.19245846253144738
spot_up/option_down/iv_flat,4,-0.2807263353207,-0.070181583830175,-0.05993286557244492,-0.010248718257732117,0.0015228535245749991,-0.06333273714624363,2015,bs,0.004333694474539545,0.004073261303064511
spot_up/option_down/iv_up,6,-0.35627173180313,-0.05937862196718833,-0.028387744506615024,-0.030990877460575838,0.0031608902405033303,-0.050642473300700465,2015,bs,0.0065005417118093175,0.0051694040634685705
spot_up/option_up/iv_down,388,-30.30431261360326,-0.0781038984886682,0.3345908143780156,-0.4126947128666887,0.04391380405421698,-0.04217238737015542,2015,bs,0.42036836403033584,0.43970717511752433
spot_up/option_up/iv_flat,31,-2.95019576786334,-0.09516760541494645,0.6434853092068322,-0.7386529146217816,0.14869536941234232,-0.07428068818205107,2015,bs,0.03358613217768147,0.04280652274384724
spot_up/option_up/iv_up,63,-1.5883596850068302,-0.02521205849217191,0.17036958798031746,-0.19558164647249024,0.007352612684486615,-0.022637714894767295,2015,bs,0.06825568797399784,0.02304665870729582
spot_down/option_down/iv_down,389,-25.686629273997035,-0.06603246599999238,-0.19605098626274622,0.13001852026274843,-0.00924827245565145,-0.03430498657935755,2016,bs,0.2617765814266487,0.2842492610896899
spot_down/option_down/iv_flat,14,-0.9789019031372901,-0.06992156450980644,-0.34702759202226935,0.27710602751245567,-0.014139955109902855,-0.043536812958058356,2016,bs,0.009421265141318977,0.010832567390527367
spot_down/option_down/iv_up,150,-3.286220573420595,-0.021908137156137302,-0.20366716412123448,0.18175902696509183,-0.00832330764534001,-0.02749345103930046,2016,bs,0.1009421265141319,0.036365447556723635
spot_up/option_down/iv_down,136,-14.477083249235912,-0.10644914153849935,-0.06564522200013023,-0.040803919538373805,0.0040791495936231695,-0.03428082847370178,2016,bs,0.09152086137281291,0.1602039789819762
spot_up/option_down/iv_flat,3,-0.48041317251826,-0.16013772417275332,-0.10196392297122658,-0.058173801201537735,0.0056565113839800035,-0.017748589078672366,2016,bs,0.002018842530282638,0.005316271272864437
spot_up/option_down/iv_up,29,-1.4198824091016,-0.04896146238281379,-0.029460321447003814,-0.01950114093581432,0.0012440755354578448,-0.03448070198250339,2016,bs,0.019515477792732168,0.015712475207089533
spot_up/option_flat/iv_down,1,-0.02061500270931,-0.02061500270931,0.0,-0.020615002709318313,0.0036307259371800016,-0.032437406787388795,2016,bs,0.0006729475100942127,0.0002281264398289614
spot_up/option_flat/iv_flat,1,-0.08945551061958999,-0.08945551061958999,0.0,-0.08945551061959346,0.009137815331109994,-0.04656769029629598,2016,bs,0.0006729475100942127,0.000989918238114651
spot_up/option_flat/iv_up,2,-0.05733403761464,-0.02866701880732,0.0,-0.02866701880731555,0.0005039857120600014,-0.017691833507038818,2016,bs,0.0013458950201884253,0.0006344607403879095
spot_up/option_up/iv_down,582,-38.591026973465915,-0.06630760648361841,0.23817386239618937,-0.30448146887981203,0.026337601401028955,-0.0345910253880152,2016,bs,0.3916554508748318,0.42704983923307294
spot_up/option_up/iv_flat,61,-3.3789653161365854,-0.05539287403502599,0.2205786950662359,-0.27597156910126625,0.03684788473068084,-0.05069462485535331,2016,bs,0.04104979811574697,0.03739176456802807
spot_up/option_up/iv_up,118,-1.90003738642833,-0.016102011749392627,0.1539426658573923,-0.17004467760678801,0.01006835221030629,-0.033236125345799214,2016,bs,0.07940780619111709,0.021025889281696214
spot_down/option_down/iv_down,786,-41.93661015989923,-0.0533544658522891,-0.15128070675220093,0.09792624089990737,-0.0023313811423284177,-0.009795889585965485,2017,bs,0.23724720796860851,0.29152923326847374
spot_down/option_down/iv_flat,51,-2.5567837588713904,-0.050133014879831184,-0.17294779002123453,0.1228147751413978,-0.011489947211536093,-0.044313340960075484,2017,bs,0.015393902807123452,0.01777390223041465
spot_down/option_down/iv_up,361,-5.449804900263829,-0.01509641246610479,-0.09896905447395168,0.08387264200784389,-0.001780539373096514,-0.007493700204029136,2017,bs,0.10896468457591307,0.03788521384963803
spot_up/option_down/iv_down,368,-22.794638760437497,-0.06194195315336276,-0.030985940584935975,-0.030956012568433076,0.001928460910222132,-0.014812232719980526,2017,bs,0.11107757319649864,0.15846067517437476
spot_up/option_down/iv_flat,5,-1.17853190388656,-0.235706380777312,-0.09920108702974202,-0.13650529374756987,0.030847041037292,-0.05773126105473116,2017,bs,0.001509206157561123,0.008192758094001105
spot_up/option_down/iv_up,20,-0.691430437527045,-0.03457152187635225,-0.019967320532891516,-0.014604201343464124,0.0005781191968208704,-0.007485771738589986,2017,bs,0.006036824630244492,0.004806592248209247
spot_up/option_flat/iv_down,3,-0.21841854157677998,-0.07280618052559333,0.0,-0.07280618052559595,6.759569203327691e-06,-0.002452806103048858,2017,bs,0.0009055236945366737,0.0015183723652128856
spot_up/option_flat/iv_up,2,-0.014778667378146457,-0.007389333689073229,0.0,-0.007389333689076197,0.00038863298220668846,-0.024541237442877298,2017,bs,0.0006036824630244491,0.00010273633355326959
spot_up/option_up/iv_down,1280,-60.227389630367824,-0.04705264814872486,0.14571507898830655,-0.19276772713703622,0.007561541346741125,-0.010557812073374407,2017,bs,0.38635677633564747,0.41868059086693116
spot_up/option_up/iv_flat,86,-4.152019414501457,-0.048279295517458805,0.1264746761067114,-0.1747539716241757,0.02305937939487066,-0.04714986890647249,2017,bs,0.025958345910051313,0.02886344489481111
spot_up/option_up/iv_up,351,-4.630039592693456,-0.013190995990579647,0.09837390422674888,-0.11156490021733262,-0.00011294387411715036,-0.0004707552499998632,2017,bs,0.10594627226079083,0.03218648067437988
spot_down/option_down/iv_down,969,-69.6631797759394,-0.07189182639415831,-0.32440580730320445,0.25251398090904187,-0.011520045034553754,-0.026380419781044894,2018,bs,0.25737051792828686,0.2811266055056168
spot_down/option_down/iv_flat,36,-1.6812943318027014,-0.046702620327852815,-0.2245669647223299,0.17786434439447665,-0.01068990487682302,-0.025626622409216007,2018,bs,0.009561752988047808,0.0067848836340194734
spot_down/option_down/iv_up,462,-11.011031789659482,-0.02383340214212009,-0.25159518688713567,0.22776178474501116,-0.003912246766437049,-0.01976424328128126,2018,bs,0.12270916334661354,0.04443515211475522
spot_up/option_down/iv_down,333,-37.29264237046986,-0.11198991702843802,-0.045379874102990304,-0.06661004292545167,0.015553447968303876,-0.051078943675791785,2018,bs,0.08844621513944223,0.15049490984570488
spot_up/option_down/iv_flat,14,-1.83002399078741,-0.13071599934195785,-0.050339651163136497,-0.08037634817882501,0.01313965079001357,-0.03957635673994748,2018,bs,0.0037184594953519256,0.007385083973752176
spot_up/option_down/iv_up,6,-0.28043184689943185,-0.04673864114990531,-0.010974099241585059,-0.03576454190832421,0.0034402288644106577,-0.029946421422658635,2018,bs,0.0015936254980079682,0.0011316861137845612
spot_up/option_flat/iv_down,2,-0.08748159438581,-0.043740797192905,0.0,-0.043740797192911136,0.0057221163662,-0.010897324352371326,2018,bs,0.0005312084993359894,0.0003530330334188417
spot_up/option_flat/iv_flat,1,-0.03008306374973,-0.03008306374973,0.0,-0.030083063749739087,0.002541518136260003,-0.04370259791277392,2018,bs,0.0002656042496679947,0.00012140056802419515
spot_up/option_flat/iv_up,1,-0.005131854769722137,-0.005131854769722137,0.0,-0.0051318547697221375,0.0051194485831560456,-0.0064441593801129,2018,bs,0.0002656042496679947,2.070966206251297e-05
spot_up/option_up/iv_down,1447,-110.05114273698123,-0.07605469435866015,0.2956594253887763,-0.3717141197474413,0.031268561770362,-0.03222993089067611,2018,bs,0.38432934926958834,0.44411271907440647
spot_up/option_up/iv_flat,167,-9.122885758250757,-0.05462805843263926,0.26158308611772085,-0.3162111445503651,0.013182827805379271,-0.02096876794273381,2018,bs,0.044355909694555114,0.036815515942302326
spot_up/option_up/iv_up,327,-6.744695542980199,-0.020625980253762076,0.22884633817073013,-0.24947231842449477,0.007476421770778036,-0.015865222325351865,2018,bs,0.08685258964143426,0.027218300532152493
