year,pattern,steps,mean_spot_return_pct,mean_iv_change,mean_option_pnl,option_up_share,mean_agent_pnl,mean_bs_pnl,mean_agent_minus_bs,mean_delta_gap,underhedged_share
2015,spot_up_iv_down,582,1.0226730865159117,-0.006568134781955573,0.32355228136927533,0.8161512027491409,-0.02134237788610097,-0.0664805654993395,0.045138187613238526,-0.03988934551042088,0.8900343642611683
2015,spot_up_iv_up,173,0.6910145324140661,0.0032561525737084913,0.36193552362488896,0.9653179190751445,0.04823039675406397,0.023603433179645975,0.024626963574418008,-0.03212730934642588,0.8554913294797688
2015,spot_down_iv_up,497,-1.0980162732833512,0.007497409176091202,-0.4246346929166834,0.018108651911468814,0.07113238734814537,0.10973626569816955,-0.038603878350024164,-0.03203963838991259,0.8329979879275654
2015,spot_down_iv_down,248,-0.5108579312810019,-0.003875263938116821,-0.3207302773905642,0.0,-0.0900063081054968,-0.06849798371781045,-0.021508324387686358,-0.034189749166949425,0.8467741935483871
2016,spot_up_iv_down,834,0.7880290255282939,-0.004806076242426047,0.24933656975152713,0.8357314148681055,-0.02696354866408108,-0.057031425572350344,0.030067876908269273,-0.03587013459406142,0.9688249400479616
2016,spot_up_iv_up,338,0.40292884668269263,0.002672030856471503,0.22379212734734538,0.908284023668639,0.021780117799403288,0.008901136670081898,0.012878981129321388,-0.03126983676732013,0.9408284023668639
2016,spot_down_iv_up,769,-0.7901859561541743,0.005996155741961005,-0.3119072630190598,0.031209362808842653,0.04215880352787599,0.0689906617656716,-0.026831858237795617,-0.03347569123227307,0.951885565669701
2016,spot_down_iv_down,399,-0.30046106045890725,-0.0034080476838898215,-0.20511993667641307,0.0,-0.07454286767302737,-0.063508616337902,-0.011034251335125367,-0.03449679585728383,0.9674185463659147
2017,spot_up_iv_down,1727,0.35854015957919705,-0.003154023324148143,0.11567988067361275,0.7851766068326578,-0.0411096508852259,-0.04770906961925965,0.006599418734033755,-0.011746697249345473,0.6253618992472496
2017,spot_up_iv_up,1168,0.32886813248733876,0.003221148725171845,0.20729343386700466,0.9811643835616438,0.021945799486087957,0.019771327913622235,0.002174471572465719,-0.004428955514619227,0.5034246575342466
