steps,episodes,mean_agent_delta,mean_bs_delta,mean_delta_gap,median_delta_gap,underhedged_share,rho_var,beta_var_on_ret,mean_dlog_s,mean_dvar,mean_step_diff_pnl_100,prefix,year,checkpoint,condition
1575.0,75.0,0.4501913424592381,0.48032547191152186,-0.030134129452283727,-0.0257912025914359,0.8723809523809524,-0.6602949664207634,-0.18018624279793877,0.00035664946097232407,-0.00010476886850204833,0.0041256895025786906,2_no_q_WF_exp1_k1_test,2015,18000,all_steps
777.0,75.0,0.48675392697027026,0.5143256866205264,-0.027571759650256066,-0.02414070931589607,0.8455598455598455,-0.7095570596380204,-0.2642971718579313,-0.00927715759259758,0.0012445173150710865,-0.026978189933960815,2_no_q_WF_exp1_k1_test,2015,18000,down_day
798.0,75.0,0.414590931224812,0.4472199996948596,-0.0326290684700475,-0.02704082160290694,0.8984962406015038,-0.4253935903698665,-0.1401993776231348,0.009736935276290389,-0.0014361837118954063,0.034411045796051365,2_no_q_WF_exp1_k1_test,2015,18000,up_day
2457.0,117.0,0.4492295769131461,0.47993805580351456,-0.030708478890368464,-0.033781092127836476,0.8494098494098494,-0.554586939471562,-0.11943236145965304,0.00028314329336849293,3.139986037900509e-05,0.0037999557766204488,2_no_q_WF_exp1_k1_test,2016,8000,all_steps
1198.0,117.0,0.4588793898927379,0.48767619191479394,-0.02879680202205603,-0.03222256476343452,0.830550918196995,-0.42875265468093243,-0.1314339991558599,-0.006388700009006446,0.0008257916450791507,-0.01928633728971788,2_no_q_WF_exp1_k1_test,2016,8000,down_day
1259.0,117.0,0.4400473084861795,0.47257484129889776,-0.03252753281271819,-0.035283046621414196,0.8673550436854647,-0.4359684706368977,-0.10259891810190665,0.006631728103730031,-0.0007602806895610718,0.025767691355233092,2_no_q_WF_exp1_k1_test,2016,8000,up_day
5250.0,250.0,0.5391643141419048,0.5230059898882202,0.016158324253684495,0.016497754886515142,0.32876190476190476,-0.19422405793666075,-0.058017004237990034,0.000714104881298704,6.716409666612837e-05,-0.001109489645678333,2_no_q_WF_exp1_k1_test,2017,2000,all_steps
2222.0,250.0,0.5524856999054906,0.5384470672367299,0.014038632668760735,0.015310535874940592,0.3424842484248425,-0.4296290795748834,-0.12180637338214824,-0.0030697171217820003,0.0002743035413453612,0.004156583167539361,2_no_q_WF_exp1_k1_test,2017,2000,down_day
3028.0,250.0,0.5293888454607001,0.5116750540003774,0.017713791460322738,0.01762685156043231,0.31869220607661825,0.00638376208733679,0.0032228787421350095,0.0034907404463070672,-8.345024911963507e-05,-0.004973827093158423,2_no_q_WF_exp1_k1_test,2017,2000,up_day
6720.0,320.0,0.5371417991793603,0.5659570693056262,-0.02881527012626582,-0.036762173451129365,0.8004464285714286,-0.5024758075774853,-0.16205635835520366,-0.00043138822845116526,0.00033570542435456776,0.0016756760729366037,2_no_q_WF_exp1_k1_test,2018,11000,all_steps
3207.0,320.0,0.5686566695816719,0.5956699424975495,-0.02701327291587754,-0.03630913292771332,0.7804801995634549,-0.5437686283337343,-0.2139053142979209,-0.009483931020149215,0.0014954668548751377,-0.02572596838701308,2_no_q_WF_exp1_k1_test,2018,11000,down_day
1.0,1.0,0.89636856,0.8856136501063154,0.01075490989368455,0.01075490989368455,0.0,,,0.0,0.0013410743424361153,0.0,2_no_q_WF_exp1_k1_test,2018,11000,flat_day
3512.0,320.0,0.5082615554034395,0.5387335952431835,-0.030472039839743933,-0.03718734948694605,0.8189066059225513,-0.2490175595250743,-0.12460740642963652,0.007834862723925598,-0.0007778313879485094,0.02669809903965972,2_no_q_WF_exp1_k1_test,2018,11000,up_day
