year,n,actual_var,spot_var,iv_var,time_var,resid_var,mean_abs_spot_share,mean_abs_iv_share,mean_abs_time_share,mean_abs_resid_share,corr_actual_spot,corr_actual_iv,corr_spot_iv,mean_m,coef_spot,coef_iv,ols_r2
2015,1500,0.2589465210254979,0.3102110447211109,0.008093261767023996,0.0013432041076096583,4.0516724269819414e-24,0.7130389826947503,0.164918973890354,0.11910314500982704,3.901698284345875e-12,0.9869916385723507,-0.47607381207239857,-0.5990543004156198,0.9984701532960978,0.9999999999999183,0.9999999999999885,1.0
2016,2340,0.14900973482523167,0.17717960961244322,0.005393148670137491,0.0008576882393926076,3.692132729457728e-24,0.6598117145137217,0.18799091411461036,0.14821961928252372,4.496337023619451e-12,0.9847519806910024,-0.4080683639447569,-0.5474378376266736,0.9984294389988584,0.9999999999999819,0.9999999999998666,1.0
2017,5000,0.054755337728071604,0.060599382244429886,0.0028646424648777714,0.0003445196012898123,4.2144841094369844e-24,0.6400580525784044,0.20135001401749783,0.15201294459940035,7.820162816110186e-12,0.9740466152017833,-0.12722706396654843,-0.3357139416256643,1.004001064577966,0.9999999999999833,0.999999999999626,1.0
2018,6400,0.42970232971852707,0.4697530908555264,0.01116954009724301,0.001493941274391263,3.4527736861692435e-24,0.7180674541427087,0.16210359418077616,0.11665060006358145,3.706651903321356e-12,0.9890381702415708,-0.3492747444957141,-0.4751242470716822,1.0139902473865607,0.9999999999999976,0.9999999999997639,1.0
2019,6380,0.20215985610584986,0.22488961843150665,0.006060557190844372,0.0011167080777617774,3.312051614553067e-24,0.6871731915926467,0.17850212135354426,0.12976009248776219,3.9272659990534556e-12,0.986719932905892,-0.22816628096207175,-0.3680414921969681,1.0142994213105738,1.0000000000000657,0.9999999999998371,1.0
2020,10360,0.8913103462657096,1.0030373909705452,0.03664561452994126,0.0033163299178872343,3.2106208714922323e-24,0.7112984480406734,0.17682656998829324,0.11030820658774888,2.391086123066721e-12,0.98318150515931,-0.23593421774176312,-0.4008044549863126,1.0143413797749303,1.000000000000016,1.0000000000000737,1.0
2021,11940,0.2587895228233875,0.29712072489810426,0.008319822996514995,0.0010080432155596003,2.777618307546764e-24,0.6713616696851925,0.1931898538490162,0.13382084851101847,4.711147465585493e-12,0.9872614737606565,-0.3396332785507913,-0.47486049387542434,1.0234761489876512,0.9999999999999892,0.999999999999922,1.0
2022,15180,0.6653124201223909,0.6898988935156263,0.008899372283711023,0.0025737787123929277,2.8987243227733057e-07,0.6954813260777988,0.17886931048590696,0.11945280080152917,1.91188724847411e-05,0.9934190049791946,-0.15953504655919093,-0.25565566896006375,1.0029804019871023,0.99999865682457,1.0002315220823035,0.9999995650179021
2023,12640,0.3598325829925081,0.3623975075739293,0.005415493039982753,0.00124454081299378,3.5359905446412993e-06,0.7040505804455758,0.1600889280343233,0.1258518439029302,0.00023807687276838704,0.992826553947123,0.021114322637473027,-0.08402029950698776,1.0521748152363188,0.9998875225021835,1.0003576606331266,0.9999901882137628
