policy,mae,p95_abs_error,agent_rew,agent_rew_sig,agent_log_down_var_ratio,agent_log_down_var_ratio_sig,bs_rew,bs_rew_sig,bs_log_down_var_ratio,bs_log_down_var_ratio_sig
Global parsimonious,0.0120875257582201,0.0314385031377835,-0.4791327787486693,True,0.229647576153448,True,-2.383866927002239,True,0.1673657754490319,False
2-band switching,0.0136442142365241,0.0370301768161544,-0.4020234272852054,True,0.2865949795941099,True,-2.306757575538775,True,0.2243131788896953,False
3-band switching,0.0107739401018664,0.030609140525002,-0.2512820005897275,False,0.179745633321073,True,-2.156016148843297,True,0.1174638326166584,False
