year,steps,episodes,mean_agent_delta,mean_bs_delta,mean_delta_gap,median_delta_gap,underhedged_share
2015,1575,75,0.45538038609339687,0.49165720098714194,-0.03627681489374513,-0.03364384280167104,0.8615873015873016
2016,2457,117,0.4554745241833536,0.4902207812795773,-0.03474625709622358,-0.030626001066421715,0.9584859584859585
2017,5250,250,0.5206472922382857,0.5300914056708704,-0.009444113432584644,-0.007650524956404642,0.5714285714285714
2018,6720,320,0.5342661685654353,0.5599774190744798,-0.0257112505090445,-0.03627399543350246,0.7544642857142857
2019,6699,319,0.5328682525500877,0.5602531734520083,-0.02738492090192062,-0.0408740598842266,0.7572772055530677
2020,10878,518,0.47371136695555716,0.5259885231472226,-0.05227715619166542,-0.04825597010606569,0.8210148924434638
2021,12537,597,0.49780880782107995,0.5309848278358986,-0.03317602001481865,-0.03779213464195319,0.8809922629018107
2022,15939,759,0.4413545593847681,0.4860067721013295,-0.044652212716561376,-0.050288418542407176,0.9297948428383211
2023,13272,632,0.6770363828442812,0.6960160078627685,-0.018979625018487396,-0.03306053753306615,0.6726943942133815
