year,var_a,var_b,log_var_ratio,log_downside_ratio,mean_delta_gap,underhedged_share,bs_residual_variance_share,actual_var,corr_actual_iv,corr_spot_iv,corr_actual_spot,mean_abs_iv_share
2015,0.6405051507420776,0.7646018827732616,-0.1770981206320118,-0.8020993298190363,-0.0362768148937451,0.8615873015873016,0.08315507064585514,0.2589465210254979,-0.4760738120723985,-0.5990543004156198,0.9869916385723508,0.164918973890354
2016,0.1418839958584412,0.1463051835774487,-0.0306849453925259,-0.4287705547501338,-0.0347462570962235,0.9584859584859584,0.02745731985542046,0.1490097348252316,-0.4080683639447569,-0.5474378376266736,0.9847519806910024,0.1879909141146103
2017,0.0515545143303332,0.0427691131496956,0.1868235918189886,-0.1617838819229999,-0.0094441134325846,0.5714285714285713,0.022541191104226848,0.0547553377280716,-0.1272270639665484,-0.3357139416256643,0.9740466152017832,0.2013500140174978
2018,0.4919850019568411,0.4849450958509361,0.0144125521017896,-0.4673316602066474,-0.0257112505090445,0.7544642857142858,0.03292910812326086,0.429702329718527,-0.3492747444957141,-0.4751242470716822,0.9890381702415708,0.1621035941807761
2019,0.0954034872491668,0.1148571878200627,-0.185574379831128,-0.5569831901160771,-0.0273849209019206,0.7572772055530677,0.011848048831053557,0.2021598561058498,-0.2281662809620717,-0.3680414921969681,0.986719932905892,0.1785021213535442
2020,1.7187356421324436,1.7347981935410437,-0.0093021629423222,-0.6771413237243992,-0.0522771561916654,0.8210148924434638,0.043592033688028074,0.8913103462657096,-0.2359342177417631,-0.4008044549863126,0.98318150515931,0.1768265699882932
2021,0.0967387975643706,0.0839004790479736,0.1423832145513942,-0.4513255515736623,-0.0331760200148186,0.8809922629018107,0.01356353339531099,0.2587895228233875,-0.3396332785507913,-0.4748604938754243,0.9872614737606564,0.1931898538490162
2022,0.1044361845215628,0.1173491415720915,-0.1165773967299258,-0.0622818105669372,-0.0446522127165613,0.9297948428383211,0.0061697723280961505,0.6653124201223909,-0.1595350465591909,-0.2556556689600637,0.9934190049791946,0.1788693104859069
2023,0.0837207055374943,0.049404841779285,0.5274378937718711,-0.1683733312711253,-0.0189796250184873,0.6726943942133816,0.004504711568193437,0.3598325829925081,0.021114322637473,-0.0840202995069877,0.992826553947123,0.1600889280343233
