family,mae,rmse,p95,corr
Raw uniform,0.02173725206802549,0.028467746356170855,0.05708288305841623,0.9945591638069876
Smooth uniform,0.024145812978716808,0.032188012808504175,0.06591223589071331,0.9942038603667438
Smooth focus,0.025058170370848554,0.031991645071764066,0.06363131341893313,0.9946486352458055
