scope,model_year,target_year,metric,n_episodes,n_clusters,point_estimate,bootstrap_center,bootstrap_std,ci_low_90,ci_high_90,significant_90,ci_low_95,ci_high_95,significant_95,ci_low_99,ci_high_99,significant_99,a_mean,b_mean,a_std,b_std,a_reward,b_reward,a_tc,b_tc,a_cvar,b_cvar,a_downside_second_moment,b_downside_second_moment,a_variance,b_variance,a_antonov,b_antonov
pair,2015,2015,mean,75,11,0.1495757151964108,0.1421703878764915,0.0720332729426199,0.0129750955651931,0.2503638306168808,True,-0.012339634819306,0.2656370685080805,False,-0.0668043225296747,0.290731420198153,False,0.1679361674249599,0.0183604522285491,0.8003156569392339,0.8744151661386378,-10.13261366991778,-12.078481151995648,0.0,0.0,-0.6674395655637358,-0.9035455164556124,0.0713631607140874,0.1591554041732117,0.6405051507420776,0.7646018827732616,0.0041241330717169,0.0042874860010349
pair,2015,2015,std,75,11,-0.0740995091994038,-0.0625191552144223,0.0827795739712046,-0.1938460804146843,0.0632058508326494,False,-0.212061018528144,0.077852395815769,False,-0.2433195430149604,0.1069924126376382,False,0.1679361674249599,0.0183604522285491,0.8003156569392339,0.8744151661386378,-10.13261366991778,-12.078481151995648,0.0,0.0,-0.6674395655637358,-0.9035455164556124,0.0713631607140874,0.1591554041732117,0.6405051507420776,0.7646018827732616,0.0041241330717169,0.0042874860010349
pair,2015,2015,tc,75,11,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.1679361674249599,0.0183604522285491,0.8003156569392339,0.8744151661386378,-10.13261366991778,-12.078481151995648,0.0,0.0,-0.6674395655637358,-0.9035455164556124,0.0713631607140874,0.1591554041732117,0.6405051507420776,0.7646018827732616,0.0041241330717169,0.0042874860010349
pair,2015,2015,rew,75,11,1.9458674820778648,1.9338335209692064,0.48010848723817,1.1518597172881315,2.7241849439591137,True,0.9962598477754336,2.8870231950282177,True,0.6777315665332204,3.197617004857781,True,0.1679361674249599,0.0183604522285491,0.8003156569392339,0.8744151661386378,-10.13261366991778,-12.078481151995648,0.0,0.0,-0.6674395655637358,-0.9035455164556124,0.0713631607140874,0.1591554041732117,0.6405051507420776,0.7646018827732616,0.0041241330717169,0.0042874860010349
pair,2015,2015,cvar,75,11,0.2361059508918765,0.1782948021085522,0.1338562200138786,-0.0999133876109703,0.3593034039633764,False,-0.0999133876109703,0.3677584089947791,False,-0.0999133876109703,0.3834041282605253,False,0.1679361674249599,0.0183604522285491,0.8003156569392339,0.8744151661386378,-10.13261366991778,-12.078481151995648,0.0,0.0,-0.6674395655637358,-0.9035455164556124,0.0713631607140874,0.1591554041732117,0.6405051507420776,0.7646018827732616,0.0041241330717169,0.0042874860010349
pair,2015,2015,log_down_var_ratio,75,11,-0.8020993298190366,-0.7392455509615785,0.2369579790122946,-1.064874270800282,-0.3245948220408358,True,-1.100555391904601,-0.2707169670606053,True,-1.2003079300934307,-0.1792919202001024,True,0.1679361674249599,0.0183604522285491,0.8003156569392339,0.8744151661386378,-10.13261366991778,-12.078481151995648,0.0,0.0,-0.6674395655637358,-0.9035455164556124,0.0713631607140874,0.1591554041732117,0.6405051507420776,0.7646018827732616,0.0041241330717169,0.0042874860010349
pair,2015,2015,log_var_ratio,75,11,-0.1770981206320118,-0.1648705732952102,0.2305695896326701,-0.5042291408218833,0.1725196785772083,False,-0.5331115014779568,0.2618958661759643,False,-0.5932277043314651,0.4718421958656437,False,0.1679361674249599,0.0183604522285491,0.8003156569392339,0.8744151661386378,-10.13261366991778,-12.078481151995648,0.0,0.0,-0.6674395655637358,-0.9035455164556124,0.0713631607140874,0.1591554041732117,0.6405051507420776,0.7646018827732616,0.0041241330717169,0.0042874860010349
pair,2015,2015,antonov,75,11,-0.000163352929318,-0.0001657948802874,0.0002645905707741,-0.0005960042444221,0.000273844591351,False,-0.0006823740556978,0.0003657361601646,False,-0.0008340721649894,0.000533019079943,False,0.1679361674249599,0.0183604522285491,0.8003156569392339,0.8744151661386378,-10.13261366991778,-12.078481151995648,0.0,0.0,-0.6674395655637358,-0.9035455164556124,0.0713631607140874,0.1591554041732117,0.6405051507420776,0.7646018827732616,0.0041241330717169,0.0042874860010349
pair,2015,2016,mean,117,11,0.0526421989164739,0.0562660691291748,0.0509067710927994,-0.0343131546776998,0.1330336309471258,False,-0.0552500756931955,0.1460115834076535,False,-0.0908004768765542,0.1774345715599211,False,-0.1104462460978619,-0.1630884450143358,0.3803674707360384,0.3824986059810529,-8.39042191498277,-9.147276035622504,0.0,0.0,-0.6619284579241497,-0.7545874105553446,0.0787877184603205,0.1140939412161271,0.144679412794131,0.1463051835774487,0.0024476258203064,0.0025298597523563
pair,2015,2016,std,117,11,-0.0021311352450144,-0.0050986583029252,0.0406263420282047,-0.0865405831141981,0.045625923290318,False,-0.1037251572901994,0.0528321423466014,False,-0.1310083077035886,0.0685949948855481,False,-0.1104462460978619,-0.1630884450143358,0.3803674707360384,0.3824986059810529,-8.39042191498277,-9.147276035622504,0.0,0.0,-0.6619284579241497,-0.7545874105553446,0.0787877184603205,0.1140939412161271,0.144679412794131,0.1463051835774487,0.0024476258203064,0.0025298597523563
