year,reward_min,reward_max,down_min,down_max,var_min,var_max,n_seeds
2015,1.7790656177270008,1.9458674820778652,-0.8347985948664883,-0.7299940380408909,-0.19896931404168286,0.04958209986993068,3
2016,1.1493712307782395,1.3522289993991716,-0.4588254949677408,-0.42877055475013404,-0.030684945392526138,0.029735400027146697,3
2017,0.32200560974292236,0.5032794754594369,-0.16178388192299964,-0.08912757832478889,0.11245797369959314,0.18682359181898847,3
2018,0.3731864539883304,0.5947488824673742,-0.46733166020664724,-0.4085899341996488,0.014412552101789626,0.1124328087416103,3
2019,0.9887105604170889,1.6246903383419085,-0.667826437981994,-0.47348798018705684,-0.21460513553160407,-0.12105302080706047,3
2020,-0.8764641884758363,-0.031133194180992068,-0.6771413237243994,-0.33117162702453823,-0.00930216294232206,0.18487492485634033,3
2021,1.4056249468554753,1.6820025459738694,-0.49220270599710286,-0.4041026380945563,0.08387694272305567,0.14238321455139424,3
2022,-3.1988215477286213,-1.904734157818154,-0.06228181056693748,0.1624645199250263,-0.1165773967299258,-0.01704339316118569,3
2023,-0.2567867066811422,0.27474179950937944,-0.1727636179692314,-0.16432442660447016,0.5227499217638618,0.682428434745788,3
