year,n_steps,corr_spot_return_iv_change,corr_option_pnl_iv_change,corr_option_pnl_spot_return,r2_spot_only,r2_spot_plus_iv,incremental_iv_r2,var_a,var_b,log_var_ratio,bs_residual_variance_share
2015,1500,-0.6708649114614517,-0.4103414916603832,0.871605567487517,0.7596962652752364,0.8149953788687115,0.05529911359347517,0.6405051507420776,0.7646018827732616,-0.1770981206320118,0.08315507064585514
2016,2340,-0.5594861697837258,-0.3718662230648836,0.8879485314964372,0.7884525945866793,0.8111712887169658,0.022718694130286488,0.1418839958584412,0.1463051835774487,-0.0306849453925259,0.02745731985542046
2017,5000,-0.34756254592829344,-0.0903879497692427,0.8913081317755024,0.7944301857691365,0.8491790397804828,0.054748854011346326,0.0515545143303332,0.0427691131496956,0.1868235918189886,0.022541191104226848
2018,6400,-0.5448287056121105,-0.3150336095446163,0.8543275157521127,0.7298755041711761,0.762056932360887,0.032181428189710926,0.4919850019568411,0.4849450958509361,0.0144125521017896,0.03292910812326086
2019,6380,-0.39031919185188624,-0.15043488543826966,0.8385450344934048,0.7031577748735454,0.7400613463648815,0.03690357149133616,0.0954034872491668,0.1148571878200627,-0.185574379831128,0.011848048831053557
2020,10360,-0.43480383002457046,-0.20938351968966395,0.8248918309030427,0.6804465326905744,0.7079271629162253,0.027480630225650837,1.7187356421324436,1.7347981935410437,-0.0093021629423222,0.043592033688028074
2021,11940,-0.5470089946653837,-0.3106236428540628,0.8239887075007851,0.6789573900888148,0.7069683840186387,0.02801099392982387,0.0967387975643706,0.0839004790479736,0.1423832145513942,0.01356353339531099
2022,15180,-0.32806135404480774,-0.13557785789966087,0.8174675448768451,0.6682531869269772,0.687956992290718,0.019703805363740834,0.1044361845215628,0.1173491415720915,-0.1165773967299258,0.0061697723280961505
2023,12640,-0.058837515438589685,0.04841063634300205,0.9264213296990966,0.8582564801214418,0.8688855900265464,0.010629109905104572,0.0837207055374943,0.049404841779285,0.5274378937718711,0.004504711568193437
